Id,Step,Pop
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,2
0,11,2
0,12,2
0,13,2
0,14,2
0,15,2
0,16,2
0,17,2
0,18,2
0,19,2
0,20,2
0,21,2
0,22,2
0,23,2
0,24,2
0,25,2
0,26,2
0,27,2
0,28,2
0,29,2
0,30,2
0,31,2
0,32,2
0,33,2
0,34,2
0,35,2
0,36,2
0,37,2
0,38,2
0,39,3
0,40,3
0,41,3
0,42,3
0,43,3
0,44,3
0,45,3
0,46,3
0,47,3
0,48,3
0,49,3
0,50,3
0,51,3
0,52,3
0,53,3
0,54,3
0,55,3
0,56,3
0,57,3
0,58,3
0,59,3
0,60,3
0,61,3
0,62,3
0,63,3
0,64,3
0,65,3
0,66,3
0,67,3
0,68,3
0,69,3
0,70,3
0,71,3
0,72,3
0,73,3
0,74,3
0,75,3
0,76,3
0,77,3
0,78,3
0,79,3
0,80,3
0,81,3
0,82,3
0,83,3
0,84,3
0,85,3
0,86,3
0,87,3
0,88,4
0,89,4
0,90,4
0,91,4
0,92,4
0,93,4
0,94,4
0,95,4
0,96,5
0,97,5
0,98,5
0,99,5
0,100,5
0,101,5
0,102,5
0,103,5
0,104,5
0,105,5
0,106,5
0,107,4
0,108,4
0,109,5
0,110,5
0,111,5
0,112,5
0,113,5
0,114,5
0,115,5
0,116,5
0,117,7
0,118,6
0,119,6
0,120,7
0,121,8
0,122,8
0,123,8
0,124,8
0,125,9
0,126,9
0,127,9
0,128,9
0,129,9
0,130,8
0,131,8
0,132,8
0,133,7
0,134,7
0,135,7
0,136,7
0,137,7
0,138,7
0,139,7
0,140,7
0,141,7
0,142,7
0,143,7
0,144,7
0,145,7
0,146,8
0,147,8
0,148,7
0,149,7
0,150,6
0,151,6
0,152,6
0,153,6
0,154,7
0,155,8
0,156,8
0,157,8
0,158,8
0,159,8
0,160,8
0,161,8
0,162,8
0,163,9
0,164,10
0,165,10
0,166,10
0,167,10
